Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
2,1,1,1,101348.88
1,1,0,1,112542.58
8,3,1,0,113931.57
1,2,0,0,93826.63
2,1,1,1,79084.1
8,2,1,0,149756.71
7,2,1,1,10062.8
4,4,1,0,119346.88
4,2,0,1,74940.5
2,1,1,1,71725.73
6,2,0,0,80181.12
3,2,1,0,76390.01
10,2,1,0,26260.98
5,2,0,0,190857.79
7,2,1,1,65951.65
3,2,0,1,64327.26
1,1,1,0,5097.67
9,2,1,1,14406.41
6,1,0,0,158684.81
6,2,1,1,54724.03
8,2,1,1,170886.17
8,2,1,0,138555.46
4,1,1,0,118913.53
3,2,0,1,8487.75
5,1,1,1,187616.16
3,2,0,1,124508.29
2,1,1,1,170041.95
9,2,0,0,38433.35
3,1,1,1,100187.43
0,2,1,1,53483.21
3,3,1,0,140469.38
7,1,0,1,156731.91
9,2,0,0,81898.81
6,2,1,1,34410.55
9,2,1,1,142033.07
0,1,1,0,27822.99
3,1,0,1,114066.77
7,1,0,1,98453.45
7,1,1,1,40812.9
6,2,0,1,178074.04
4,1,1,0,70154.22
8,1,0,0,181297.65
2,1,1,1,94153.83
2,1,0,0,194365.76
5,1,1,1,158338.39
4,2,1,1,126517.46
9,1,1,1,119708.21
9,1,1,1,117622.8
2,1,0,1,90878.13
2,2,1,0,194099.12
10,2,1,0,198059.16
5,2,0,0,86424.57
5,2,0,0,116978.19
8,1,0,0,164040.94
1,1,1,0,40014.76
1,1,1,1,113410.49
5,1,1,0,87107.57
0,1,0,0,45613.75
4,1,1,0,1643.11
4,1,1,1,46775.28
5,1,0,0,84509.57
9,2,0,0,126494.82
1,2,0,0,178798.13
8,1,1,1,99398.36
4,1,1,1,92840.67
6,2,1,1,27758.36
1,1,1,0,110431.51
10,2,1,1,196673.28
5,2,0,1,113656.85
8,1,1,0,18203.0
2,4,1,0,28373.86
6,1,1,0,33953.87
0,1,0,1,44203.55
5,2,1,1,58426.81
9,2,0,1,145562.4
1,2,1,0,22388.0
8,2,1,1,139161.64
9,1,1,1,148210.64
5,1,0,1,194239.63
10,2,1,0,98301.61
1,2,0,0,171413.66
2,1,1,0,136458.19
3,2,0,0,26019.59
4,1,1,1,159235.29
4,2,1,0,1907.66
10,2,1,1,114675.75
3,1,1,0,128643.35
9,2,1,0,151869.35
4,3,1,0,93251.42
3,2,1,1,156791.36
5,3,1,1,174205.22
7,2,1,0,147132.46
10,2,1,0,109614.57
8,2,1,1,172290.61
4,2,0,1,85982.47
10,1,0,1,121277.78
9,1,0,1,64595.25
8,2,1,1,197276.13
