CreditScore,Age,Balance,Geography,Gender,Exited
619,42,0.0,France,Female,1
608,41,83807.86,Spain,Female,0
502,42,159660.8,France,Female,1
699,39,0.0,France,Female,0
850,43,125510.82,Spain,Female,0
645,44,113755.78,Spain,Male,1
822,50,0.0,France,Male,0
376,29,115046.74,Germany,Female,1
501,44,142051.07,France,Male,0
684,27,134603.88,France,Male,0
528,31,102016.72,France,Male,0
497,24,0.0,Spain,Male,0
476,34,0.0,France,Female,0
549,25,0.0,France,Female,0
635,35,0.0,Spain,Female,0
616,45,143129.41,Germany,Male,0
653,58,132602.88,Germany,Male,1
549,24,0.0,Spain,Female,0
587,45,0.0,Spain,Male,0
726,24,0.0,France,Female,0
732,41,0.0,France,Male,0
636,32,0.0,Spain,Female,0
510,38,0.0,Spain,Female,1
669,46,0.0,France,Male,0
846,38,0.0,France,Female,0
577,25,0.0,France,Male,0
756,36,136815.64,Germany,Male,0
571,44,0.0,France,Male,0
574,43,141349.43,Germany,Female,0
411,29,59697.17,France,Male,0
591,39,0.0,Spain,Female,1
533,36,85311.7,France,Male,0
553,41,110112.54,Germany,Male,0
520,42,0.0,Spain,Female,0
722,29,0.0,Spain,Female,0
475,45,134264.04,France,Female,1
490,31,145260.23,Spain,Male,0
804,33,76548.6,Spain,Male,0
850,36,0.0,France,Male,0
582,41,70349.48,Germany,Male,0
472,40,0.0,Spain,Male,0
465,51,122522.32,France,Female,1
556,61,117419.35,France,Female,0
834,49,131394.56,France,Female,1
660,61,155931.11,Spain,Female,0
776,32,109421.13,Germany,Female,0
829,27,112045.67,Germany,Female,1
637,39,137843.8,Germany,Female,1
550,38,103391.38,Germany,Male,0
776,37,103769.22,Germany,Female,0
698,44,116363.37,Germany,Male,0
585,36,146050.97,Germany,Male,0
788,33,0.0,France,Female,0
655,41,125561.97,Germany,Male,1
601,42,98495.72,Germany,Male,1
619,43,125211.92,France,Male,0
656,45,127864.4,France,Male,0
725,19,75888.2,Germany,Male,0
