file_name,y
500.jpg,3
501.jpg,9
502.jpg,5
503.jpg,8
504.jpg,5
505.jpg,7
506.jpg,6
507.jpg,1
508.jpg,1
509.jpg,3
510.jpg,1
511.jpg,7
512.jpg,5
513.jpg,5
514.jpg,5
515.jpg,2
516.jpg,5
517.jpg,8
518.jpg,7
519.jpg,0
520.jpg,9
521.jpg,7
522.jpg,7
523.jpg,5
524.jpg,0
525.jpg,9
526.jpg,0
527.jpg,0
528.jpg,8
529.jpg,9
530.jpg,2
531.jpg,4
532.jpg,8
533.jpg,1
534.jpg,6
535.jpg,1
536.jpg,6
537.jpg,5
538.jpg,1
539.jpg,8
540.jpg,3
541.jpg,4
542.jpg,0
543.jpg,5
544.jpg,5
545.jpg,8
546.jpg,3
547.jpg,6
548.jpg,2
549.jpg,3
550.jpg,9
551.jpg,2
552.jpg,1
553.jpg,1
554.jpg,5
555.jpg,2
556.jpg,1
557.jpg,3
558.jpg,2
559.jpg,8
560.jpg,7
561.jpg,3
562.jpg,7
563.jpg,2
564.jpg,4
565.jpg,6
566.jpg,9
567.jpg,7
568.jpg,2
569.jpg,4
570.jpg,2
571.jpg,8
572.jpg,1
573.jpg,1
574.jpg,3
575.jpg,8
576.jpg,4
577.jpg,0
578.jpg,6
579.jpg,5
580.jpg,9
581.jpg,3
582.jpg,0
583.jpg,9
584.jpg,2
585.jpg,4
586.jpg,7
587.jpg,1
588.jpg,2
589.jpg,9
590.jpg,4
591.jpg,2
592.jpg,6
593.jpg,1
594.jpg,8
595.jpg,9
596.jpg,0
597.jpg,6
598.jpg,6
599.jpg,7
600.jpg,9
601.jpg,9
602.jpg,8
603.jpg,0
604.jpg,1
605.jpg,4
606.jpg,4
607.jpg,6
608.jpg,7
609.jpg,1
610.jpg,5
611.jpg,7
612.jpg,0
613.jpg,3
614.jpg,5
615.jpg,8
616.jpg,4
617.jpg,7
618.jpg,1
619.jpg,2
620.jpg,5
621.jpg,9
622.jpg,5
623.jpg,6
624.jpg,7
625.jpg,5
626.jpg,9
627.jpg,8
628.jpg,8
629.jpg,3
630.jpg,6
631.jpg,9
632.jpg,7
633.jpg,0
634.jpg,7
635.jpg,5
636.jpg,7
637.jpg,1
638.jpg,1
639.jpg,0
640.jpg,7
641.jpg,9
642.jpg,2
643.jpg,3
644.jpg,7
645.jpg,3
646.jpg,2
647.jpg,4
648.jpg,1
649.jpg,6
650.jpg,2
651.jpg,7
652.jpg,5
653.jpg,5
654.jpg,7
655.jpg,4
656.jpg,0
657.jpg,2
658.jpg,6
659.jpg,3
660.jpg,6
661.jpg,4
662.jpg,0
663.jpg,4
664.jpg,2
665.jpg,6
666.jpg,0
667.jpg,0
668.jpg,0
669.jpg,0
670.jpg,3
671.jpg,1
672.jpg,6
673.jpg,2
674.jpg,2
675.jpg,3
676.jpg,1
677.jpg,4
678.jpg,1
679.jpg,5
680.jpg,4
681.jpg,6
682.jpg,4
683.jpg,7
684.jpg,2
685.jpg,8
686.jpg,7
687.jpg,9
688.jpg,2
689.jpg,0
690.jpg,5
691.jpg,1
692.jpg,4
693.jpg,2
694.jpg,8
695.jpg,3
696.jpg,2
697.jpg,4
698.jpg,1
699.jpg,5
700.jpg,4
701.jpg,6
702.jpg,0
703.jpg,7
704.jpg,9
705.jpg,8
706.jpg,4
707.jpg,9
708.jpg,8
709.jpg,0
710.jpg,1
711.jpg,1
712.jpg,0
713.jpg,2
714.jpg,2
715.jpg,3
716.jpg,2
717.jpg,4
718.jpg,4
719.jpg,5
720.jpg,8
721.jpg,6
722.jpg,5
723.jpg,7
724.jpg,7
725.jpg,8
726.jpg,8
727.jpg,9
728.jpg,7
729.jpg,4
730.jpg,7
731.jpg,3
732.jpg,2
733.jpg,0
734.jpg,8
735.jpg,6
736.jpg,8
737.jpg,6
738.jpg,1
739.jpg,6
740.jpg,8
741.jpg,9
742.jpg,4
743.jpg,0
744.jpg,9
745.jpg,0
746.jpg,4
747.jpg,1
748.jpg,5
749.jpg,4
750.jpg,7
751.jpg,5
752.jpg,3
753.jpg,7
754.jpg,4
755.jpg,9
756.jpg,8
757.jpg,5
758.jpg,8
759.jpg,6
760.jpg,3
761.jpg,8
762.jpg,6
763.jpg,9
764.jpg,9
765.jpg,1
766.jpg,8
767.jpg,3
768.jpg,5
769.jpg,8
770.jpg,6
771.jpg,5
772.jpg,9
773.jpg,7
774.jpg,2
775.jpg,5
776.jpg,0
777.jpg,8
778.jpg,5
779.jpg,1
780.jpg,1
781.jpg,0
782.jpg,9
783.jpg,1
784.jpg,8
785.jpg,6
