file_name,y
0.jpg,5
1.jpg,0
2.jpg,4
3.jpg,1
4.jpg,9
5.jpg,2
6.jpg,1
7.jpg,3
8.jpg,1
9.jpg,4
10.jpg,3
11.jpg,5
12.jpg,3
13.jpg,6
14.jpg,1
15.jpg,7
16.jpg,2
17.jpg,8
18.jpg,6
19.jpg,9
20.jpg,4
21.jpg,0
22.jpg,9
23.jpg,1
24.jpg,1
25.jpg,2
26.jpg,4
27.jpg,3
28.jpg,2
29.jpg,7
30.jpg,3
31.jpg,8
32.jpg,6
33.jpg,9
34.jpg,0
35.jpg,5
36.jpg,6
37.jpg,0
38.jpg,7
39.jpg,6
40.jpg,1
41.jpg,8
42.jpg,7
43.jpg,9
44.jpg,3
45.jpg,9
46.jpg,8
47.jpg,5
48.jpg,9
49.jpg,3
50.jpg,3
51.jpg,0
52.jpg,7
53.jpg,4
54.jpg,9
55.jpg,8
56.jpg,0
57.jpg,9
58.jpg,4
59.jpg,1
60.jpg,4
61.jpg,4
62.jpg,6
63.jpg,0
64.jpg,4
65.jpg,5
66.jpg,6
67.jpg,1
68.jpg,0
69.jpg,0
70.jpg,1
71.jpg,7
72.jpg,1
73.jpg,6
74.jpg,3
75.jpg,0
76.jpg,2
77.jpg,1
78.jpg,1
79.jpg,7
80.jpg,9
81.jpg,0
82.jpg,2
83.jpg,6
84.jpg,7
85.jpg,8
86.jpg,3
87.jpg,9
88.jpg,0
89.jpg,4
90.jpg,6
91.jpg,7
92.jpg,4
93.jpg,6
94.jpg,8
95.jpg,0
96.jpg,7
97.jpg,8
98.jpg,3
99.jpg,1
100.jpg,5
101.jpg,7
102.jpg,1
103.jpg,7
104.jpg,1
105.jpg,1
106.jpg,6
107.jpg,3
108.jpg,0
109.jpg,2
110.jpg,9
111.jpg,3
112.jpg,1
113.jpg,1
114.jpg,0
115.jpg,4
116.jpg,9
117.jpg,2
118.jpg,0
119.jpg,0
120.jpg,2
121.jpg,0
122.jpg,2
123.jpg,7
124.jpg,1
125.jpg,8
126.jpg,6
127.jpg,4
128.jpg,1
129.jpg,6
130.jpg,3
131.jpg,4
132.jpg,5
133.jpg,9
134.jpg,1
135.jpg,3
136.jpg,3
137.jpg,8
138.jpg,5
139.jpg,4
140.jpg,7
141.jpg,7
142.jpg,4
143.jpg,2
144.jpg,8
145.jpg,5
146.jpg,8
147.jpg,6
148.jpg,7
149.jpg,3
150.jpg,4
151.jpg,6
152.jpg,1
153.jpg,9
154.jpg,9
155.jpg,6
156.jpg,0
157.jpg,3
158.jpg,7
