id,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,y
16342,2013-09-08,Newcastle,16.8,22.5,0.4,,,,,SW,SE,4.0,9.0,78.0,64.0,,,6.0,6.0,19.8,22.0,No,0.0,No
4967,2014-10-01,BadgerysCreek,13.7,20.9,0.0,,,WSW,61.0,SW,SSW,44.0,19.0,26.0,21.0,1017.7,1017.7,,,16.2,20.0,No,0.0,No
19869,2015-05-22,NorahHead,13.5,17.5,2.4,,,S,96.0,WSW,S,17.0,63.0,95.0,77.0,1015.7,1017.6,,,13.5,16.8,Yes,24.4,Yes
17134,2015-11-27,Newcastle,18.6,22.7,0.0,,,,,SE,,9.0,,62.0,,,,8.0,,20.0,,No,0.0,No
1041,2011-11-21,Albury,8.1,23.5,0.0,,,W,33.0,ENE,WSW,4.0,19.0,54.0,36.0,1018.1,1014.3,,,17.0,22.6,No,2.6,Yes
2948,2017-04-24,Albury,11.0,23.3,0.0,,,ESE,17.0,ENE,SE,2.0,9.0,81.0,59.0,1022.3,1016.9,1.0,2.0,15.8,22.8,No,9.6,Yes
1273,2012-07-10,Albury,5.2,11.9,2.4,,,ENE,44.0,SSE,NE,7.0,22.0,95.0,97.0,1020.8,1015.6,7.0,8.0,9.1,11.2,Yes,27.2,Yes
10408,2013-04-24,CoffsHarbour,12.1,23.7,0.0,3.0,10.4,NE,24.0,SSW,ENE,2.0,15.0,64.0,55.0,1019.1,1016.1,1.0,2.0,20.6,22.7,No,0.0,No
7984,2014-11-11,Cobar,16.4,33.0,0.0,11.6,,SW,33.0,SSE,SW,15.0,22.0,21.0,3.0,1016.9,1013.2,1.0,0.0,21.2,31.3,No,0.0,No
14506,2016-11-10,Moree,16.6,31.8,19.6,,,WSW,31.0,ESE,SSW,13.0,13.0,70.0,37.0,1009.4,1007.1,,2.0,22.8,29.9,Yes,0.0,No
21990,2012-11-04,NorfolkIsland,15.7,19.6,0.0,6.0,6.2,ESE,37.0,SE,SE,20.0,22.0,63.0,49.0,1020.7,1019.8,7.0,5.0,17.8,18.6,No,0.0,No
17352,2016-07-10,Newcastle,8.2,18.7,0.2,,,,,,,0.0,,94.0,,,,2.0,,10.9,,No,0.0,No
24101,2010-05-28,Penrith,11.6,20.4,,,,NE,20.0,,NE,,13.0,,54.0,,,,,,20.0,,3.2,Yes
14970,2009-07-25,Newcastle,4.4,18.8,0.0,,,,,N,,4.0,0.0,94.0,38.0,,,0.0,0.0,8.0,17.8,No,0.0,No
7411,2013-04-17,Cobar,9.7,22.9,0.0,7.0,,SW,33.0,SSE,WSW,7.0,15.0,36.0,22.0,1016.6,1013.4,4.0,6.0,16.8,21.8,No,0.0,No
619,2010-08-21,Albury,6.3,12.9,0.0,,,WNW,39.0,WNW,W,17.0,19.0,86.0,68.0,1018.7,1017.8,8.0,3.0,7.0,12.0,No,0.2,No
12466,2010-08-10,Moree,14.1,16.8,3.0,4.2,0.0,NE,56.0,NE,NNE,37.0,17.0,93.0,93.0,1017.5,1013.6,8.0,8.0,14.6,16.2,Yes,10.8,Yes
9067,2009-05-22,CoffsHarbour,15.7,20.2,76.0,,0.0,ESE,87.0,ESE,E,46.0,44.0,90.0,78.0,1014.4,1011.0,8.0,7.0,17.6,19.8,Yes,19.6,Yes
1166,2012-03-25,Albury,6.2,21.0,0.0,,,SSW,24.0,SSE,WNW,2.0,13.0,85.0,46.0,1022.4,1020.5,,,10.2,19.8,No,0.0,No
13638,2014-02-09,Moree,20.2,36.8,0.0,11.2,12.9,NE,39.0,NE,E,28.0,6.0,53.0,29.0,1018.3,1014.1,0.0,1.0,24.4,34.6,No,0.0,No
20714,2009-04-07,NorfolkIsland,18.4,24.5,0.4,5.6,5.4,NE,28.0,NE,SE,13.0,6.0,68.0,63.0,1018.2,1016.3,5.0,6.0,22.3,22.4,No,0.2,No
23334,2016-09-08,NorfolkIsland,15.3,19.0,0.4,4.0,,S,50.0,SSE,SSE,24.0,31.0,63.0,53.0,1026.7,1023.9,8.0,2.0,17.1,16.8,No,0.3,No
21504,2011-07-07,NorfolkIsland,16.6,20.4,0.0,3.8,6.7,W,69.0,NW,WNW,20.0,35.0,70.0,70.0,1013.0,1010.5,1.0,2.0,18.5,19.8,No,1.0,No
14147,2015-10-24,Moree,16.0,30.7,0.0,,,NE,39.0,ENE,N,20.0,9.0,48.0,26.0,1022.1,1017.6,,1.0,21.6,28.8,No,0.0,No
24872,2012-09-08,Penrith,8.1,21.2,0.0,,,W,48.0,SSE,SW,6.0,22.0,41.0,34.0,,,,,15.6,19.8,No,0.0,No
