id,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am
20089,2016-01-14,NorahHead,22.2,37.5,0.0,,,S,85.0,NNE,NE,17.0
18391,2011-01-10,NorahHead,21.3,25.3,3.2,,,ENE,46.0,ENE,E,26.0
11472,2016-05-14,CoffsHarbour,10.3,25.0,0.0,,,NE,30.0,SW,NE,9.0
14313,2016-05-01,Moree,21.4,24.7,0.0,,,SW,48.0,WNW,SSW,19.0
22771,2015-02-22,NorfolkIsland,20.0,26.4,0.0,7.2,7.6,E,46.0,ENE,E,28.0
19305,2013-10-20,NorahHead,15.8,24.9,0.0,,,NE,46.0,N,NE,7.0
10479,2013-07-04,CoffsHarbour,10.8,21.8,0.0,1.6,,N,41.0,NW,N,11.0
13024,2012-03-26,Moree,15.7,29.2,0.0,6.8,11.1,NE,37.0,NNE,NNW,15.0
12356,2010-04-22,Moree,16.8,29.8,0.0,6.6,9.5,ENE,30.0,ENE,ESE,13.0
7899,2014-08-18,Cobar,7.3,14.3,1.8,0.8,,SW,39.0,SW,SW,20.0
2221,2015-04-23,Albury,12.7,24.0,0.2,,,SE,30.0,N,S,6.0
24250,2010-11-06,Penrith,12.2,18.1,3.4,,,SE,28.0,SSW,SSW,13.0
7585,2013-10-08,Cobar,10.1,25.9,0.0,9.0,,SW,48.0,SE,S,9.0
2813,2016-12-05,Albury,19.3,32.8,0.0,,,WSW,44.0,E,WSW,6.0
471,2010-03-25,Albury,11.6,29.6,0.0,,,NNW,24.0,E,NNW,4.0
23248,2016-06-14,NorfolkIsland,14.7,18.5,0.4,14.4,,ESE,54.0,ESE,ESE,24.0
18596,2011-09-05,NorahHead,12.8,22.5,0.0,,,NNE,43.0,N,NE,11.0
23418,2016-12-08,NorfolkIsland,19.4,24.5,0.0,5.6,,W,41.0,W,WNW,24.0
11540,2016-07-21,CoffsHarbour,16.1,18.8,2.8,,,SW,22.0,WSW,SW,13.0
10814,2014-06-15,CoffsHarbour,5.6,20.4,0.0,,,,,,,
18201,2010-06-24,NorahHead,12.0,17.8,3.2,,,NNW,31.0,SW,ENE,7.0
3366,2009-12-28,BadgerysCreek,19.0,26.2,23.4,,,E,31.0,W,,9.0
24763,2012-05-21,Penrith,8.2,20.5,0.0,,,NNE,19.0,,ENE,0.0
20755,2009-05-18,NorfolkIsland,17.2,20.5,0.6,1.8,8.3,SSE,41.0,S,S,28.0
11049,2015-03-16,CoffsHarbour,18.0,25.4,1.8,,,SW,43.0,SW,S,28.0
4188,2012-06-03,BadgerysCreek,12.7,15.3,16.0,,,WSW,15.0,SW,SE,6.0
