id,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,y
20089,28.0,91.0,68.0,1012.3,1008.5,,,25.9,30.3,No,26.6,Yes
18391,20.0,80.0,82.0,1015.9,1014.5,,,23.7,24.1,Yes,2.4,Yes
11472,20.0,62.0,57.0,1024.3,1021.1,,,19.7,23.9,No,0.0,No
14313,2.0,72.0,83.0,1018.6,1017.0,8.0,8.0,22.6,19.6,No,3.0,Yes
22771,31.0,69.0,65.0,1018.5,1016.3,6.0,7.0,23.3,23.8,No,0.0,No
19305,31.0,71.0,75.0,1021.9,1016.7,,,20.3,22.2,No,0.2,No
10479,24.0,73.0,49.0,1021.6,1015.7,1.0,1.0,17.3,20.8,No,0.0,No
13024,13.0,61.0,34.0,1021.1,1017.6,2.0,4.0,19.6,28.0,No,0.0,No
12356,11.0,50.0,28.0,1023.0,1018.6,2.0,2.0,23.2,29.1,No,0.0,No
7899,22.0,93.0,61.0,1015.5,1014.8,8.0,6.0,7.4,13.4,Yes,0.0,No
2221,9.0,83.0,53.0,1014.6,1009.9,8.0,8.0,15.2,23.1,No,3.6,Yes
24250,6.0,91.0,74.0,,,,,14.1,17.4,Yes,1.6,Yes
7585,20.0,32.0,19.0,1017.3,1016.3,0.0,0.0,18.5,24.5,No,0.0,No
2813,28.0,62.0,40.0,1008.5,1007.4,,5.0,25.2,30.9,No,0.0,No
471,6.0,75.0,32.0,1021.8,1018.0,,,15.4,28.9,No,0.0,No
23248,22.0,59.0,66.0,1031.0,1027.4,8.0,8.0,17.7,17.4,No,0.0,No
18596,24.0,79.0,76.0,1026.9,1023.5,,,17.4,18.7,No,0.0,No
23418,22.0,78.0,82.0,1012.8,1010.7,8.0,8.0,22.2,22.3,No,4.6,Yes
11540,13.0,89.0,89.0,1019.3,1016.2,8.0,8.0,17.1,17.3,Yes,5.8,Yes
10814,,61.0,44.0,,,,,14.9,20.2,No,0.2,No
18201,7.0,89.0,69.0,1031.1,1027.3,,,12.3,16.8,Yes,0.0,No
3366,,99.0,,1015.6,,,,19.6,,Yes,1.6,Yes
24763,6.0,99.0,56.0,,,,,12.3,19.8,No,0.4,No
20755,24.0,71.0,57.0,1015.6,1014.1,6.0,7.0,18.5,19.7,No,0.0,No
11049,24.0,66.0,57.0,1015.6,1014.6,2.0,3.0,21.3,23.9,Yes,0.0,No
4188,2.0,100.0,91.0,1014.9,1010.7,,,13.4,15.0,Yes,0.2,No
5029,9.0,93.0,48.0,1012.2,1008.2,,,21.1,31.1,Yes,3.2,Yes
7270,20.0,27.0,6.0,1015.4,1010.6,1.0,3.0,24.8,33.9,No,0.0,No
20534,31.0,100.0,57.0,1027.1,1025.3,,,16.7,21.4,Yes,6.8,Yes
14615,13.0,54.0,27.0,1019.0,1014.9,1.0,5.0,22.4,31.0,No,0.0,No
21018,37.0,73.0,65.0,1017.2,1016.1,7.0,4.0,23.6,24.9,No,0.0,No
15922,9.0,68.0,80.0,,,1.0,8.0,17.0,17.0,No,1.0,No
8077,17.0,54.0,25.0,1018.8,1015.4,5.0,7.0,24.8,33.2,No,0.0,No
9476,15.0,66.0,68.0,1025.6,1022.3,3.0,6.0,15.0,16.6,No,1.2,Yes
760,22.0,55.0,41.0,1013.8,1010.6,,,26.7,32.5,No,35.0,Yes
2726,20.0,86.0,91.0,1014.8,1009.8,8.0,8.0,15.1,15.7,Yes,17.0,Yes
3607,17.0,55.0,28.0,1016.9,1014.2,,,17.3,24.8,No,0.0,No
12764,19.0,73.0,34.0,1020.9,1016.2,6.0,3.0,13.0,23.2,No,0.2,No
