id,CRIM,ZN,INDUS,CHAS,NOX,RM
91,0.03932,0.0,3.41,0,0.489,6.405
273,0.22188,20.0,6.96,1,0.464,7.691
365,4.55587,0.0,18.1,0,0.718,3.561
270,0.29916,20.0,6.96,0,0.464,5.856
469,13.0751,0.0,18.1,0,0.58,5.713
260,0.54011,20.0,3.97,0,0.647,7.203
248,0.16439,22.0,5.86,0,0.431,6.433
471,4.03841,0.0,18.1,0,0.532,6.229
352,0.07244,60.0,1.69,0,0.411,5.884
211,0.37578,0.0,10.59,1,0.489,5.404
41,0.12744,0.0,6.91,0,0.448,6.77
389,8.15174,0.0,18.1,0,0.7,5.39
466,3.77498,0.0,18.1,0,0.655,5.952
266,0.7857,20.0,3.97,0,0.647,7.014
179,0.0578,0.0,2.46,0,0.488,6.98
36,0.09744,0.0,5.96,0,0.499,5.841
8,0.21124,12.5,7.87,0,0.524,5.631
375,19.6091,0.0,18.1,0,0.671,7.313
257,0.61154,20.0,3.97,0,0.647,8.704
196,0.04011,80.0,1.52,0,0.404,7.287
433,5.58107,0.0,18.1,0,0.713,6.436
10,0.22489,12.5,7.87,0,0.524,6.377
264,0.55007,20.0,3.97,0,0.647,7.206
128,0.32543,0.0,21.89,0,0.624,6.431
102,0.22876,0.0,8.56,0,0.52,6.405
430,8.49213,0.0,18.1,0,0.584,6.348
437,15.1772,0.0,18.1,0,0.74,6.152
424,8.79212,0.0,18.1,0,0.584,5.565
393,8.64476,0.0,18.1,0,0.693,6.193
467,4.42228,0.0,18.1,0,0.584,6.003
345,0.03113,0.0,4.39,0,0.442,6.014
124,0.09849,0.0,25.65,0,0.581,5.879
420,11.0874,0.0,18.1,0,0.718,6.411
34,1.61282,0.0,8.14,0,0.538,6.096
208,0.13587,0.0,10.59,1,0.489,6.064
384,20.0849,0.0,18.1,0,0.7,4.368
374,18.4982,0.0,18.1,0,0.668,4.138
237,0.51183,0.0,6.2,0,0.507,7.358
290,0.03502,80.0,4.95,0,0.411,6.861
25,0.84054,0.0,8.14,0,0.538,5.599
28,0.77299,0.0,8.14,0,0.538,6.495
293,0.08265,0.0,13.92,0,0.437,6.127
395,8.71675,0.0,18.1,0,0.693,6.471
51,0.04337,21.0,5.64,0,0.439,6.115
230,0.537,0.0,6.2,0,0.504,5.981
254,0.04819,80.0,3.64,0,0.392,6.108
32,1.38799,0.0,8.14,0,0.538,5.95
93,0.02875,28.0,15.04,0,0.464,6.211
391,5.29305,0.0,18.1,0,0.7,6.051
130,0.34006,0.0,21.89,0,0.624,6.458
150,1.6566,0.0,19.58,0,0.871,6.122
444,12.8023,0.0,18.1,0,0.74,5.854
38,0.17505,0.0,5.96,0,0.499,5.966
425,15.8603,0.0,18.1,0,0.679,5.896
324,0.34109,0.0,7.38,0,0.493,6.415
241,0.10612,30.0,4.93,0,0.428,6.095
388,14.3337,0.0,18.1,0,0.7,4.88
396,5.87205,0.0,18.1,0,0.693,6.405
240,0.11329,30.0,4.93,0,0.428,6.897
190,0.09068,45.0,3.44,0,0.437,6.951
329,0.06724,0.0,3.24,0,0.46,6.333
342,0.02498,0.0,1.89,0,0.518,6.54
256,0.01538,90.0,3.75,0,0.394,7.454
27,0.95577,0.0,8.14,0,0.538,6.047
340,0.06151,0.0,5.19,0,0.515,5.968
473,4.64689,0.0,18.1,0,0.614,6.98
468,15.5757,0.0,18.1,0,0.58,5.926
57,0.01432,100.0,1.32,0,0.411,6.816
139,0.54452,0.0,21.89,0,0.624,6.151
185,0.06047,0.0,2.46,0,0.488,6.153
300,0.04417,70.0,2.24,0,0.4,6.871
335,0.03961,0.0,5.19,0,0.515,6.037
449,7.52601,0.0,18.1,0,0.713,6.417
52,0.0536,21.0,5.64,0,0.439,6.511
489,0.18337,0.0,27.74,0,0.609,5.414
399,9.91655,0.0,18.1,0,0.693,5.852
364,3.47428,0.0,18.1,1,0.718,8.78
0,0.00632,18.0,2.31,0,0.538,6.575
177,0.05425,0.0,4.05,0,0.51,6.315
72,0.09164,0.0,10.81,0,0.413,6.065
125,0.16902,0.0,25.65,0,0.581,5.986
279,0.21038,20.0,3.33,0,0.4429,6.812
402,9.59571,0.0,18.1,0,0.693,6.404
301,0.03537,34.0,6.09,0,0.433,6.59
213,0.14052,0.0,10.59,0,0.489,6.375
146,2.15505,0.0,19.58,0,0.871,5.628
421,7.02259,0.0,18.1,0,0.718,6.006
372,8.26725,0.0,18.1,1,0.668,5.875
