id,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y
91,73.9,3.0921,2,270.0,17.8,393.55,8.2,22.0
273,51.8,4.3665,3,223.0,18.6,390.77,6.58,35.2
365,87.9,1.6132,24,666.0,20.2,354.7,7.12,27.5
270,42.1,4.429,3,223.0,18.6,388.65,13.0,21.1
469,56.7,2.8237,24,666.0,20.2,396.9,14.76,20.1
260,81.8,2.1121,5,264.0,13.0,392.8,9.59,33.8
248,49.1,7.8265,7,330.0,19.1,374.71,9.52,24.5
471,90.7,3.0993,24,666.0,20.2,395.33,12.87,19.6
352,18.5,10.7103,4,411.0,18.3,392.33,7.79,18.6
211,88.6,3.665,4,277.0,18.6,395.24,23.98,19.3
41,2.9,5.7209,3,233.0,17.9,385.41,4.84,26.6
389,98.9,1.7281,24,666.0,20.2,396.9,20.85,11.5
466,84.7,2.8715,24,666.0,20.2,22.01,17.15,19.0
266,84.6,2.1329,5,264.0,13.0,384.07,14.79,30.7
179,58.4,2.829,3,193.0,17.8,396.9,5.04,37.2
36,61.4,3.3779,5,279.0,19.2,377.56,11.41,20.0
8,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5
375,97.9,1.3163,24,666.0,20.2,396.9,13.44,15.0
257,86.9,1.801,5,264.0,13.0,389.7,5.12,50.0
196,34.1,7.309,2,329.0,12.6,396.9,4.08,33.3
433,87.9,2.3158,24,666.0,20.2,100.19,16.22,14.3
10,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0
264,91.6,1.9301,5,264.0,13.0,387.89,8.1,36.5
128,98.8,1.8125,4,437.0,21.2,396.9,15.39,18.0
102,85.4,2.7147,5,384.0,20.9,70.8,10.63,18.6
430,86.1,2.0527,24,666.0,20.2,83.45,17.64,14.5
437,100.0,1.9142,24,666.0,20.2,9.32,26.45,8.7
424,70.6,2.0635,24,666.0,20.2,3.65,17.16,11.7
393,92.6,1.7912,24,666.0,20.2,396.9,15.17,13.8
467,94.5,2.5403,24,666.0,20.2,331.29,21.32,19.1
345,48.5,8.0136,3,352.0,18.8,385.64,10.53,17.5
124,95.8,2.0063,2,188.0,19.1,379.38,17.58,18.8
420,100.0,1.8589,24,666.0,20.2,318.75,15.02,16.7
34,96.9,3.7598,4,307.0,21.0,248.31,20.34,13.5
208,59.1,4.2392,4,277.0,18.6,381.32,14.66,24.4
384,91.2,1.4395,24,666.0,20.2,285.83,30.63,8.8
374,100.0,1.137,24,666.0,20.2,396.9,37.97,13.8
237,71.6,4.148,8,307.0,17.4,390.07,4.73,31.5
290,27.9,5.1167,4,245.0,19.2,396.9,3.33,28.5
25,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9
28,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4
293,18.4,5.5027,4,289.0,16.0,396.9,8.58,23.9
395,98.8,1.7257,24,666.0,20.2,391.98,17.12,13.1
51,63.0,6.8147,4,243.0,16.8,393.97,9.43,20.5
230,68.1,3.6715,8,307.0,17.4,378.35,11.65,24.3
254,32.0,9.2203,1,315.0,16.4,392.89,6.57,21.9
32,82.0,3.99,4,307.0,21.0,232.6,27.71,13.2
93,28.9,3.6659,4,270.0,18.2,396.33,6.21,25.0
391,82.5,2.1678,24,666.0,20.2,378.38,18.76,23.2
130,98.9,2.1185,4,437.0,21.2,395.04,12.6,19.2
150,97.3,1.618,5,403.0,14.7,372.8,14.1,21.5
444,96.6,1.8956,24,666.0,20.2,240.52,23.79,10.8
38,30.2,3.8473,5,279.0,19.2,393.43,10.13,24.7
425,95.4,1.9096,24,666.0,20.2,7.68,24.39,8.3
324,40.1,4.7211,5,287.0,19.6,396.9,6.12,25.0
241,65.1,6.3361,6,300.0,16.6,394.62,12.4,20.1
388,100.0,1.5895,24,666.0,20.2,372.92,30.62,10.2
396,96.0,1.6768,24,666.0,20.2,396.9,19.37,12.5
240,54.3,6.3361,6,300.0,16.6,391.25,11.38,22.0
190,21.5,6.4798,5,398.0,15.2,377.68,5.1,37.0
329,17.2,5.2146,4,430.0,16.9,375.21,7.34,22.6
342,59.7,6.2669,1,422.0,15.9,389.96,8.65,16.5
256,34.2,6.3361,3,244.0,15.9,386.34,3.11,44.0
27,88.8,4.4534,4,307.0,21.0,306.38,17.28,14.8
340,58.5,4.8122,5,224.0,20.2,396.9,9.29,18.7
473,67.6,2.5329,24,666.0,20.2,374.68,11.66,29.8
468,71.0,2.9084,24,666.0,20.2,368.74,18.13,19.1
57,40.5,8.3248,5,256.0,15.1,392.9,3.95,31.6
139,97.9,1.6687,4,437.0,21.2,396.9,18.46,17.8
185,68.8,3.2797,3,193.0,17.8,387.11,13.15,29.6
300,47.4,7.8278,5,358.0,14.8,390.86,6.07,24.8
335,34.5,5.9853,5,224.0,20.2,396.9,8.01,21.1
449,98.3,2.185,24,666.0,20.2,304.21,19.31,13.0
52,21.1,6.8147,4,243.0,16.8,396.9,5.28,25.0
489,98.3,1.7554,4,711.0,20.1,344.05,23.97,7.0
399,77.8,1.5004,24,666.0,20.2,338.16,29.97,6.3
364,82.9,1.9047,24,666.0,20.2,354.55,5.29,21.9
0,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0
177,73.4,3.3175,5,296.0,16.6,395.6,6.29,24.6
72,7.8,5.2873,4,305.0,19.2,390.91,5.52,22.8
125,88.4,1.9929,2,188.0,19.1,385.02,14.81,21.4
279,32.2,4.1007,5,216.0,14.9,396.9,4.85,35.1
402,100.0,1.639,24,666.0,20.2,376.11,20.31,12.1
301,40.4,5.4917,7,329.0,16.1,395.75,9.5,22.0
