x6,x7,x8,x9,x10,x11,x12
4,3,4,1,1,3,6
5,3,3,1,1,3,4
4,3,2,2,3,3,10
3,2,2,1,1,5,2
4,3,2,1,2,5,4
5,4,2,1,2,5,10
4,4,4,1,1,3,0
4,1,4,1,1,1,6
4,2,2,1,1,1,0
5,5,1,1,1,5,0
3,3,3,1,2,2,0
5,2,2,1,1,4,4
4,3,3,1,3,5,2
5,4,3,1,2,3,2
4,5,2,1,1,3,0
4,4,4,1,2,2,4
3,2,3,1,2,2,6
5,3,2,1,1,4,4
5,5,5,2,4,5,16
3,1,3,1,3,5,4
4,4,1,1,1,1,0
5,4,2,1,1,5,0
4,5,1,1,3,5,2
5,4,4,2,4,5,0
4,3,2,1,1,5,2
1,2,2,1,3,5,14
4,2,2,1,2,5,2
2,2,4,2,4,1,4
5,3,3,1,1,5,4
4,4,5,5,5,5,16
5,4,2,3,4,5,0
4,3,1,1,1,5,0
4,5,2,1,1,5,0
5,3,2,1,1,2,0
5,4,3,1,1,5,0
3,5,1,1,1,5,0
5,4,3,1,1,4,2
2,4,3,1,1,5,7
4,3,2,1,1,5,2
4,3,1,1,1,2,8
3,3,3,1,2,3,25
5,4,3,2,4,5,8
4,3,3,1,1,5,2
5,4,1,1,1,1,0
4,3,3,2,2,5,14
5,2,2,1,1,5,8
2,3,5,1,4,3,12
4,2,2,1,1,2,4
4,3,3,2,2,5,2
4,4,4,1,1,3,2
4,3,3,2,3,4,2
4,3,3,1,1,5,2
5,5,5,3,4,5,6
3,3,4,2,3,5,0
5,3,4,4,4,1,6
5,3,4,1,1,2,8
4,3,2,1,1,1,0
3,2,2,1,1,5,4
4,3,2,1,1,5,2
4,2,3,1,1,5,2
2,4,4,2,3,4,6
5,5,5,5,5,5,6
4,4,3,1,1,1,4
3,4,4,2,4,4,2
4,4,4,2,4,2,0
5,4,3,1,2,1,2
1,3,3,5,5,3,4
4,3,3,1,2,5,4
4,1,3,1,3,4,2
4,4,2,2,3,3,12
4,3,2,1,1,5,0
3,3,3,1,1,3,0
3,3,4,2,4,5,2
5,3,2,2,2,5,2
4,3,3,2,4,5,54
4,3,3,2,3,5,6
3,4,3,1,1,1,8
5,2,3,1,3,3,0
4,5,1,1,1,3,2
2,4,3,1,2,3,12
3,2,2,1,3,3,2
5,3,2,1,2,5,4
4,4,4,1,1,5,10
5,3,3,1,3,4,4
4,3,2,2,3,4,2
4,4,4,2,3,5,6
4,3,4,1,2,2,4
5,3,3,1,3,1,4
4,4,2,1,1,3,12
4,1,3,3,5,5,18
4,3,3,1,3,4,0
4,5,5,1,3,1,4
3,3,3,2,3,2,4
5,3,3,1,1,1,0
4,3,4,1,1,4,6
3,1,2,1,1,1,2
3,3,3,1,1,4,2
4,3,5,1,1,5,2
5,3,4,1,2,1,6
5,3,5,1,1,3,0
4,5,5,5,5,4,14
4,4,3,1,1,4,0
5,3,3,1,1,5,4
4,3,5,1,1,2,26
5,4,4,1,1,1,0
4,3,3,1,1,4,10
5,1,2,1,1,3,8
5,3,3,1,1,5,2
1,3,5,3,5,1,6
5,4,5,1,1,4,4
5,5,3,1,1,4,6
4,1,2,1,1,2,0
3,1,2,1,1,5,6
3,5,2,1,1,3,10
5,4,2,1,1,5,8
5,4,4,1,2,5,2
4,4,3,1,1,2,2
5,4,2,1,1,5,0
5,2,4,1,4,5,20
3,4,3,1,2,4,6
3,2,3,1,2,1,2
5,5,4,1,2,5,6
4,2,2,1,2,5,2
3,4,4,1,4,5,18
5,4,4,1,1,5,0
5,5,5,3,2,5,0
5,3,2,1,1,1,0
3,4,2,1,1,5,2
3,3,3,1,2,4,0
3,5,5,2,5,4,8
4,2,2,2,2,5,0
4,3,3,1,2,4,0
3,4,4,1,3,5,12
3,2,1,1,4,5,16
5,3,3,1,1,5,0
4,3,3,1,1,5,0
5,4,5,2,4,5,0
4,3,2,1,1,5,0
4,4,4,1,3,5,0
4,3,2,1,1,5,0
2,2,2,1,1,3,0
2,3,3,2,2,2,8
4,2,2,1,1,5,2
3,4,4,3,3,1,2
5,4,5,1,2,5,0
4,4,2,1,2,5,0
3,3,2,1,1,3,0
4,3,2,1,1,5,2
3,3,2,2,1,5,0
4,5,5,2,5,5,0
2,3,5,2,5,4,0
4,4,4,3,5,5,6
4,2,1,2,3,3,8
4,5,4,1,1,4,0
4,2,1,1,1,4,0
4,4,4,1,1,1,2
2,2,2,3,3,5,8
5,2,5,1,5,4,6
4,2,2,1,2,3,2
4,5,5,4,4,5,4
3,3,2,2,2,5,0
4,4,4,1,4,3,6
4,4,4,2,4,5,0
5,3,3,1,4,2,2
5,3,5,1,5,5,0
4,5,2,1,1,2,16
4,3,5,2,4,4,4
4,2,3,1,1,3,0
5,1,5,1,1,4,0
4,4,2,1,1,3,0
3,4,5,2,4,2,0
4,3,2,1,1,3,2
4,4,4,1,3,5,0
4,3,5,1,1,3,0
4,4,5,1,1,4,4
4,4,4,4,4,4,4
3,4,4,1,4,5,2
4,3,4,1,4,4,4
4,3,3,3,4,3,10
5,2,3,1,1,2,4
3,4,3,2,3,3,10
4,2,3,1,2,3,2
5,4,2,2,3,5,0
5,3,3,2,3,1,56
1,2,2,1,2,1,14
4,3,4,2,3,4,12
3,3,3,1,2,3,2
4,2,3,1,2,5,0
3,3,3,1,3,3,6
3,1,3,1,5,3,4
4,3,3,1,1,2,10
5,3,3,1,1,3,0
4,4,4,4,5,5,12
4,3,2,3,4,5,8
5,3,3,1,1,3,0
4,3,2,1,1,5,0
5,2,3,1,2,5,4
3,3,4,3,5,3,8
4,2,4,2,3,2,24
4,5,2,1,2,3,0
4,3,5,1,5,2,2
4,4,3,1,3,4,6
4,4,4,1,3,1,4
5,3,2,1,2,3,18
5,3,5,1,1,5,6
4,4,3,3,4,5,28
2,3,3,2,2,4,5
1,3,2,1,1,1,10
4,3,2,1,4,5,6
4,4,2,1,1,4,6
4,3,3,1,2,3,10
5,3,5,4,5,3,13
3,3,4,1,1,4,0
4,4,4,2,4,5,15
