Class,x0,x1,x2,x3,x4,x5
6,18,4,4,2,2,0
6,17,1,1,1,2,0
10,15,1,1,1,2,3
15,15,4,2,1,3,0
10,16,3,3,1,2,0
15,16,4,3,1,2,0
11,16,2,2,1,2,0
6,17,4,4,2,2,0
19,15,3,2,1,2,0
15,15,3,4,1,2,0
9,15,4,4,1,2,0
12,15,2,1,3,3,0
14,15,4,4,1,1,0
11,15,4,3,2,2,0
16,15,2,2,1,3,0
14,16,4,4,1,1,0
14,16,4,4,1,3,0
10,16,3,3,3,2,0
5,17,3,2,1,1,3
10,16,4,3,1,1,0
15,15,4,3,1,2,0
15,15,4,4,1,1,0
16,16,4,2,1,2,0
12,16,2,2,2,2,0
8,15,2,4,1,3,0
8,16,2,2,1,1,2
11,15,2,2,1,1,0
15,15,4,2,1,1,0
11,16,3,4,1,2,0
11,16,4,4,1,2,0
12,15,4,4,1,2,0
17,15,4,4,2,2,0
16,15,4,3,1,2,0
12,15,3,3,1,2,0
15,16,3,2,1,1,0
6,15,2,3,2,1,0
18,15,4,3,1,3,0
15,16,4,4,2,3,0
11,15,3,4,1,3,0
13,15,2,2,1,1,0
11,16,2,2,2,2,1
12,15,4,4,1,1,0
18,15,4,4,1,2,0
11,15,2,2,1,1,0
9,16,2,2,2,2,1
6,15,4,3,1,2,0
11,16,3,3,1,2,0
20,16,4,3,1,4,0
14,15,4,2,1,2,0
7,15,4,4,1,2,1
13,16,2,2,3,2,0
13,15,4,2,1,2,0
10,15,4,2,2,1,1
11,15,4,4,1,1,0
13,15,3,3,1,1,0
10,16,2,1,1,2,0
15,15,4,3,1,2,0
15,15,4,4,1,2,0
9,15,1,2,1,2,0
16,16,4,2,1,2,0
11,16,4,4,1,2,0
11,16,1,1,4,1,0
9,16,1,2,1,2,0
9,16,4,3,1,3,0
10,15,4,3,1,2,0
15,16,4,3,3,2,0
12,15,4,4,1,4,0
6,16,3,1,1,4,0
8,15,2,2,2,2,0
16,15,3,1,2,4,0
15,16,3,1,2,4,0
10,15,4,2,1,4,0
5,15,1,1,1,2,2
14,16,3,1,1,1,0
11,16,3,3,1,2,0
10,15,4,3,1,2,0
10,15,4,0,2,4,0
11,16,2,2,1,4,0
10,17,2,1,2,1,3
5,16,3,4,1,2,0
12,15,2,3,1,1,0
11,15,2,3,1,3,0
6,15,3,2,1,2,0
15,15,2,2,2,2,0
10,15,1,1,1,2,0
8,15,4,4,2,2,2
6,16,2,2,1,2,0
14,15,4,2,1,3,0
10,16,2,2,2,2,1
7,16,4,4,1,2,0
8,16,3,3,1,3,0
18,15,4,3,1,1,0
6,16,3,1,1,2,0
